mode,map,team,player,kills,deaths,hill time,damage,first blood,major  ,type,opponent,score,map number,W/L,rounds,,series k/d,hardpoint k/d,search & destroy k/d,control k/d,total kills,total deaths,all hardpoint k/d,all search & destroy k/d,all control k/d,overall k/d
Search & Destroy,Skyline,Vegas Falcons,Roxas,8,4,,861,0,Major 1,Online,Carolina Royal Ravens,6-2,2,W,8,,0.97,,2.00,,410,507,0.75,0.84,0.92,0.81
Search & Destroy,Skyline,Carolina Royal Ravens,Gwinn,7,7,,906,1,Major 1,Online,Vegas Falcons,2-6,2,L,8,,1.24,,1.00,,645,533,1.28,1.08,1.13,1.21
Search & Destroy,Skyline,Carolina Royal Ravens,Slasher,4,6,,931,0,Major 1,Online,Vegas Falcons,2-6,2,L,8,,1.23,,0.67,,552,531,1.11,1.05,0.90,1.04
Search & Destroy,Skyline,Carolina Royal Ravens,TJHaly,7,7,,870,2,Major 1,Online,Vegas Falcons,2-6,2,L,8,,0.88,,1.00,,599,562,1.01,1.19,1.14,1.07
Search & Destroy,Skyline,Carolina Royal Ravens,Vivid,1,6,,475,0,Major 1,Online,Vegas Falcons,2-6,2,L,8,,0.85,,0.17,,530,557,1.03,0.65,0.94,0.95
Control,Vault,Vegas Falcons,Exnid,17,17,,2116,,Major 1,Online,Carolina Royal Ravens,0-3,3,L,3,,0.90,,,1.00,478,521,0.85,0.93,1.05,0.92
Control,Vault,Vegas Falcons,Khhx,14,17,,1561,,Major 1,Online,Carolina Royal Ravens,0-3,3,L,3,,1.21,,,0.82,284,238,1.22,1.25,1.12,1.19
Control,Vault,Vegas Falcons,KingAbody,14,19,,1952,,Major 1,Online,Carolina Royal Ravens,0-3,3,L,3,,0.78,,,0.74,212,293,0.74,0.65,0.72,0.72
Control,Vault,Vegas Falcons,Roxas,14,14,,2579,,Major 1,Online,Carolina Royal Ravens,0-3,3,L,3,,0.97,,,1.00,410,507,0.75,0.84,0.92,0.81
Control,Vault,Carolina Royal Ravens,Gwinn,18,17,,2402,,Major 1,Online,Vegas Falcons,3-0,3,W ,3,,1.24,,,1.06,645,533,1.28,1.08,1.13,1.21
Control,Vault,Carolina Royal Ravens,Slasher,14,12,,2185,,Major 1,Online,Vegas Falcons,3-0,3,W ,3,,1.23,,,1.17,552,531,1.11,1.05,0.90,1.04
Control,Vault,Carolina Royal Ravens,TJHaly,17,15,,2027,,Major 1,Online,Vegas Falcons,3-0,3,W,3,,0.88,,,1.13,599,562,1.01,1.19,1.14,1.07
Control,Vault,Carolina Royal Ravens,Vivid,18,15,,2353,,Major 1,Online,Vegas Falcons,3-0,3,W,3,,0.85,,,1.20,530,557,1.03,0.65,0.94,0.95
Hardpoint,Protocol,Vegas Falcons,Exnid,27,27,50,3211,,Major 1,Online,Carolina Royal Ravens,236-250,4,L,,,0.90,1.00,,,478,521,0.85,0.93,1.05,0.92
Hardpoint,Protocol,Vegas Falcons,Khhx,31,22,81,3406,,Major 1,Online,Carolina Royal Ravens,236-250,4,L,,,1.21,1.41,,,284,238,1.22,1.25,1.12,1.19
Hardpoint,Protocol,Vegas Falcons,KingAbody,18,25,90,2223,,Major 1,Online,Carolina Royal Ravens,236-250,4,L,,,0.78,0.72,,,212,293,0.74,0.65,0.72,0.72
Hardpoint,Protocol,Vegas Falcons,Roxas,25,23,61,3299,,Major 1,Online,Carolina Royal Ravens,236-250,4,L,,,0.97,1.09,,,410,507,0.75,0.84,0.92,0.81
